Product,Firm,Plan,Family,Profile,Weight,Phase1,Funded,P_pay,P_yr1,E_payout_100k,E_payout_if_paid,Avg_days
Maven 3-Step,Maven,3-Step,3-step,Lottery,0.17,0.003,0.0,0.0,0.0,0.0,0.0,1.559
Hola Direct,Hola Prime,Direct,instant,Pro,0.07,0.811,0.811,0.811,0.271,2934.202314417769,3618.0053198739447,42.991
Hola Direct,Hola Prime,Direct,instant,Semi-skilled,0.22,0.617,0.617,0.617,0.227,2262.174490551638,3666.409222936204,48.72
Hola Direct,Hola Prime,Direct,instant,Average,0.26,0.174,0.174,0.174,0.071,835.562787343723,4802.0849847340405,49.945
Hola Direct,Hola Prime,Direct,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,2.115
Hola Direct,Hola Prime,Direct,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.804
Hola 1-Step Prime,Hola Prime,1-Step Prime,1-step,Pro,0.07,0.781,0.614,0.614,0.211,671.1384681164017,1093.0593943263873,87.819
Hola 1-Step Prime,Hola Prime,1-Step Prime,1-step,Semi-skilled,0.22,0.457,0.339,0.339,0.104,352.14979030769535,1038.7899419106056,93.303
Hola 1-Step Prime,Hola Prime,1-Step Prime,1-step,Average,0.26,0.102,0.057,0.057,0.019,90.37311857029202,1585.493308250737,59.31
Hola 1-Step Prime,Hola Prime,1-Step Prime,1-step,Aggressive,0.28,0.01,0.0,0.0,0.0,0.0,0.0,1.565
Hola 1-Step Prime,Hola Prime,1-Step Prime,1-step,Lottery,0.17,0.003,0.0,0.0,0.0,0.0,0.0,1.258
Hola 2-Step Prime,Hola Prime,2-Step Prime,2-step,Pro,0.07,0.871,0.685,0.685,0.231,766.3050875381031,1118.6935584497855,111.255
Hola 2-Step Prime,Hola Prime,2-Step Prime,2-step,Semi-skilled,0.22,0.548,0.305,0.305,0.113,318.25820470206065,1043.4695236133136,119.867
Hola 2-Step Prime,Hola Prime,2-Step Prime,2-step,Average,0.26,0.163,0.032,0.032,0.011,54.54039865339881,1704.387457918713,69.196
Hola 2-Step Prime,Hola Prime,2-Step Prime,2-step,Aggressive,0.28,0.012,0.0,0.0,0.0,0.0,0.0,1.977
Hola 2-Step Prime,Hola Prime,2-Step Prime,2-step,Lottery,0.17,0.001,0.0,0.0,0.0,0.0,0.0,1.326
FXIFY 2-Step,FXIFY,2-Step,2-step,Pro,0.07,0.736,0.527,0.527,0.178,342.50885722195204,649.9219302124327,112.698
FXIFY 2-Step,FXIFY,2-Step,2-step,Semi-skilled,0.22,0.438,0.219,0.219,0.079,157.110127575736,717.3978428115797,107.258
FXIFY 2-Step,FXIFY,2-Step,2-step,Average,0.26,0.105,0.015,0.015,0.005,13.80674854323622,920.4499028824147,71.092
FXIFY 2-Step,FXIFY,2-Step,2-step,Aggressive,0.28,0.015,0.0,0.0,0.0,0.0,0.0,2.147
FXIFY 2-Step,FXIFY,2-Step,2-step,Lottery,0.17,0.027,0.0,0.0,0.0,0.0,0.0,1.549
FXIFY Instant Lite,FXIFY,Instant Lite,instant,Pro,0.07,0.614,0.614,0.614,0.202,2310.710141289454,3763.3715656180025,57.307
FXIFY Instant Lite,FXIFY,Instant Lite,instant,Semi-skilled,0.22,0.411,0.411,0.411,0.136,1761.631305238982,4286.207555325989,60.942
FXIFY Instant Lite,FXIFY,Instant Lite,instant,Average,0.26,0.092,0.092,0.092,0.025,501.6730097164187,5452.967496917594,55.474
FXIFY Instant Lite,FXIFY,Instant Lite,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.575
FXIFY Instant Lite,FXIFY,Instant Lite,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.174
FXIFY Instant,FXIFY,Instant Standard,instant,Pro,0.07,0.962,0.962,0.962,0.321,659.8207084826215,685.8843123519973,7.194
FXIFY Instant,FXIFY,Instant Standard,instant,Semi-skilled,0.22,0.923,0.923,0.923,0.313,680.8413677348531,737.6396183476196,9.255
FXIFY Instant,FXIFY,Instant Standard,instant,Average,0.26,0.747,0.747,0.747,0.234,818.1404069616286,1095.2348152096768,15.743
FXIFY Instant,FXIFY,Instant Standard,instant,Aggressive,0.28,0.224,0.224,0.224,0.079,792.7415044908316,3539.024573619784,6.494
FXIFY Instant,FXIFY,Instant Standard,instant,Lottery,0.17,0.084,0.084,0.084,0.028,499.5555569560828,5947.08996376289,3.519
IF Instant,Instant Funding,Instant,instant,Pro,0.07,0.783,0.783,0.783,0.288,2714.8802782790735,3467.2800488877056,40.709
IF Instant,Instant Funding,Instant,instant,Semi-skilled,0.22,0.571,0.571,0.571,0.179,2199.6476153285735,3852.2725312234215,46.629
IF Instant,Instant Funding,Instant,instant,Average,0.26,0.131,0.131,0.131,0.038,643.1173509150077,4909.292755076395,52.16
IF Instant,Instant Funding,Instant,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.345
IF Instant,Instant Funding,Instant,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.178
Fintokei ProTrader,Fintokei,ProTrader,2-step,Pro,0.07,0.859,0.649,0.649,0.214,711.9231867263702,1096.9540627524966,113.735
Fintokei ProTrader,Fintokei,ProTrader,2-step,Semi-skilled,0.22,0.603,0.324,0.324,0.108,352.6735708238878,1088.4986753823696,119.135
Fintokei ProTrader,Fintokei,ProTrader,2-step,Average,0.26,0.2,0.035,0.035,0.01,59.75719415098989,1707.3484043139968,71.3
Fintokei ProTrader,Fintokei,ProTrader,2-step,Aggressive,0.28,0.006,0.0,0.0,0.0,0.0,0.0,1.912
Fintokei ProTrader,Fintokei,ProTrader,2-step,Lottery,0.17,0.001,0.0,0.0,0.0,0.0,0.0,1.351
Fintokei SwiftTrader,Fintokei,SwiftTrader,1-step,Pro,0.07,0.704,0.571,0.571,0.174,629.1577251615003,1101.8524083388797,84.863
Fintokei SwiftTrader,Fintokei,SwiftTrader,1-step,Semi-skilled,0.22,0.45,0.329,0.329,0.113,384.3828988723769,1168.3370786394435,83.725
Fintokei SwiftTrader,Fintokei,SwiftTrader,1-step,Average,0.26,0.103,0.049,0.049,0.018,75.08894510734841,1532.4274511703757,51.707
Fintokei SwiftTrader,Fintokei,SwiftTrader,1-step,Aggressive,0.28,0.024,0.0,0.0,0.0,0.0,0.0,11.288
Fintokei SwiftTrader,Fintokei,SwiftTrader,1-step,Lottery,0.17,0.002,0.0,0.0,0.0,0.0,0.0,1.298
ForTraders 2-Step,For Traders,2-Step,2-step,Pro,0.07,0.824,0.573,0.573,0.176,658.4475112731927,1149.1230563231986,103.106
