Firm,Plan,Family,Size,List,Sale,Discount,Off,P_pay,E_payout,E_cost,BE,px_20,px_40,px_60,sale_m,list_m,Refund,Product
FXIFY,Instant Standard,instant,10000,179.0,143.0,~20% typical,0.2011173184357542,0.54162,71.55811222454416,71.55811222454416,71.55811222454416,89.44764028068019,119.26352037424027,178.89528056136038,0.4995936208073835,0.6002340099187478,none,FXIFY Instant
FXIFY,Instant Standard,instant,25000,329.0,263.0,~20% typical,0.20060790273556228,0.54162,178.89528056136038,178.89528056136038,178.89528056136038,223.61910070170046,298.15880093560065,447.2382014034009,0.31978980775148147,0.4562453478378104,none,FXIFY Instant
FXIFY,Instant Standard,instant,50000,529.0,423.0,~20% typical,0.20037807183364842,0.54162,357.79056112272076,357.79056112272076,357.79056112272076,447.2382014034009,596.3176018712013,894.4764028068018,0.1541594299699273,0.3236473324712273,none,FXIFY Instant
FXIFY,Instant Standard,instant,100000,799.0,639.0,~20% typical,0.20025031289111395,0.54162,715.5811222454415,715.5811222454415,715.5811222454415,894.4764028068018,1192.6352037424026,1788.9528056136037,-0.11984526172995542,0.10440410232109948,none,FXIFY Instant
Instant Funding,Instant,instant,5000,109.0,87.0,~20% typical,0.2018348623853211,0.21449000000000001,42.05873030448617,42.05873030448617,42.05873030448617,52.573412880607705,70.09788384081028,105.14682576121541,0.5165663183392395,0.6141400889496681,none,IF Instant
Instant Funding,Instant,instant,10000,179.0,143.0,~20% typical,0.2011173184357542,0.21449000000000001,84.11746060897234,84.11746060897234,84.11746060897234,105.14682576121541,140.19576768162057,210.29365152243082,0.4117660097274662,0.5300700524638416,none,IF Instant
Instant Funding,Instant,instant,25000,329.0,263.0,~20% typical,0.20060790273556228,0.21449000000000001,210.29365152243082,210.29365152243082,210.29365152243082,262.8670644030385,350.4894192040514,525.734128806077,0.2004043668348638,0.3608095698406358,none,IF Instant
Instant Funding,Instant,instant,50000,529.0,423.0,~20% typical,0.20037807183364842,0.21449000000000001,420.58730304486164,420.58730304486164,420.58730304486164,525.734128806077,700.9788384081028,1051.468257612154,0.005703775307655693,0.20493893564298366,none,IF Instant
Instant Funding,Instant,instant,100000,799.0,639.0,~20% typical,0.20025031289111395,0.21449000000000001,841.1746060897233,841.1746060897233,841.1746060897233,1051.468257612154,1401.9576768162055,2102.936515224308,-0.3163921848039488,-0.05278423790954103,none,IF Instant
Fintokei,ProTrader,2-step,5000,44.0,35.0,20% OFF listed,0.20454545454545459,0.12581,7.147983956567931,11.55133395656793,8.176693804056248,10.220867255070308,13.627823006760414,20.441734510140616,0.669961886955202,0.7117358191689106,first,Fintokei ProTrader
Fintokei,ProTrader,2-step,10000,99.0,79.0,20% OFF listed,0.202020202020202,0.12581,14.295967913135861,24.23495791313586,16.353387608112495,20.441734510140616,27.255646013520828,40.88346902028123,0.6932283808463815,0.7297862837056983,first,Fintokei ProTrader
Fintokei,ProTrader,2-step,25000,199.0,159.0,20% OFF listed,0.20100502512562812,0.12581,35.73991978283965,55.74370978283965,40.88346902028123,51.104336275351535,68.13911503380206,102.20867255070307,0.649410630296606,0.6945924131515595,first,Fintokei ProTrader
Fintokei,ProTrader,2-step,50000,299.0,239.0,20% OFF listed,0.2006688963210702,0.12581,71.4798395656793,101.5484295656793,81.76693804056247,102.20867255070307,136.2782300676041,204.41734510140614,0.5751111733653586,0.6351269914191328,first,Fintokei ProTrader
Fintokei,ProTrader,2-step,100000,529.0,423.0,20% OFF listed,0.20037807183364842,0.12581,142.9596791313586,196.17730913135858,163.53387608112493,204.41734510140614,272.5564601352082,408.8346902028123,0.5362238554814218,0.6039448598651066,first,Fintokei ProTrader
Fintokei,ProTrader,2-step,200000,999.0,799.0,20% OFF listed,0.20020020020020024,0.12581,285.9193582627172,386.4415482627172,327.06775216224986,408.8346902028123,545.1129202704165,817.6693804056246,0.5163434940391524,0.5879844361734563,first,Fintokei ProTrader
