Plan,Size,Sale,List,BE,Rec_m,Chal_left,Combo,Keys,Sticker,Extra,Addon_left,Combined
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,News + 90%,"('news', 'split90')",106,21.838867726011742,33.28113227398826,66.1913169661863
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,News + 90% On Demand,"('news', 'od90')",142,21.838867726011742,52.00113227398826,84.9113169661863
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Weekend + weekly,"('weekend', 'weekly')",89,13.555159278214187,32.72484072178581,65.63502541398385
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Weekend + on-demand 80%,"('weekend', 'od80')",106,13.555159278214187,41.564840721785814,74.47502541398386
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Weekend + 90%,"('weekend', 'split90')",106,24.851125343392674,30.26887465660733,63.179059348805374
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Weekend + 90% On Demand,"('weekend', 'od90')",142,24.851125343392674,48.98887465660733,81.89905934880537
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Swing + weekly,"('swing', 'weekly')",125,16.567416895595116,48.432583104404884,81.34276779660293
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Swing + on-demand 80%,"('swing', 'od80')",142,16.567416895595116,57.27258310440489,90.18276779660293
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Swing + 90%,"('swing', 'split90')",142,27.863382960773603,45.9766170392264,78.88680173142444
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Swing + 90% On Demand,"('swing', 'od90')",178,27.863382960773603,64.6966170392264,97.60680173142444
